Recipe,Question,label
"Stir together brown sugar and hot water in a cocktail shaker to dissolve. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice. Shake until well chilled, about 15 seconds. Strain into an ice-filled rocks glass. Garnish with orange twist and cinnamon.",Do you have to shake the bourbon in the cocktail?,0
"Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup. Pour in 1 ½ cups boiling water, and let steep 5 minutes, then remove tea bags.
Add 1 ½ oz. reposado tequila, ¾ oz. fresh lemon juice, and 1 Tbsp. agave nectar and stir until incorporated. Pour into a 16-ounce insulated mug (or two smaller 8-ounce mugs) and drink hot.",Do you need to add water to make chamomile tea?,0
"Add 3 oz. Grand Marnier, 1 oz. Amaro Averna, and a small pat of salted butter to a 16-ounce travel mug or large heatproof measuring cup. Add 1 cup hot apple cider and stir until butter melts.
Add 1½ tsp. fresh lemon juice and taste for sweetness, adding additional if needed. If serving in travel mug, garnish with ground pink peppercorns and seal. If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorn-dusted lemon wheel.",Is grand marnier and amaro aryle the same thing?,0
"Heat oil in a large nonstick skillet over medium-high. Cook plantains, turning once, until deep golden brown, about 3 minutes per side. Transfer to paper towels to drain; season with salt.
Divide yogurt among bowls; top with plantains and mangoes, then nuts, seeds, and/or coconut as desired.",Is mango yogurt the same as mango yoghurt?,0
"In a large heavy kettle cook garlic, onions, celery, and bell peppers in oil over moderately low heat, stirring occasionally, until softened. Add all remaining ingredients except shrimp and simmer, uncovered, 30 minutes, or until thickened. Stir in shrimp and cook, covered, over moderately high heat, stirring occasionally, until shrimp are cooked through, about 5 minutes.
Serve shrimp and sauce over coked rice.",Is the sauce the same as the shrimp?,0
"Bring piloncillo, canela, cardamom, allspice, peppercorns, salt, and 1 cup water to a boil in a small saucepan. Reduce heat, cover, and simmer 15 minutes. Add orange zest; let cool.
Strain spiced syrup through a fine-mesh sieve into a measuring glass; discard spices. (You should have about 1 cup.)
To make 1 drink, pour 1 cup cold-brew coffee into an ice-filled glass. Stir in 2–3 Tbsp. spiced syrup; top with 2–3 Tbsp. coconut milk.
Do Ahead: Syrup can be made 1 week ahead. Cover and chill.",Can you make coffee with coffee spiced syrup?,0
"Preheat your oven to its highest setting (with fan if it has one). Line a baking tray with baking paper.
Mix all the marinade ingredients together in a mixing bowl. Add the salmon and turn until well coated in the marinade.
Spread the salmon out on the prepared baking tray and roast for 10 minutes until cooked through. Remove from the oven and serve immediately with tortilla wraps, tomatoes, finely sliced onion, coriander leaves and Greek yogurt.",Is the salmon marinade the same as the roque?,0
"Place the tomato in a blender and purée, then strain through a fine-mesh sieve; you should get about ½ cup (120 ml). Add the butter to a large skillet and gently cook over medium heat until it starts to brown and smell nutty. Stir in the smooth tomato purée (be careful; it might spatter) and simmer for another minute or so. You’re looking to slightly cook the purée but keep its brightness. The mix won’t emulsify, which is fine. Season with salt and pepper and set aside.",Is the purée of the tomatoes in a blender?,0
"Heat oil in a wok or frying pan over medium heat until hot enough to fry. Add one piece of onion to test the oil (it should begin to sizzle right away). Sauté onions for 15–20 minutes, until golden brown. Using a slotted spoon, transfer onions to a baking sheet lined with paper towels. Spread onions out to drain and cool.
Store in an airtight container for up to 7 days.",Do onions have to cool in the oven?,0
"To make the rice, which is best done in a rice cooker, put the rice in a fine-mesh sieve or colander and rinse under cold running water until the water runs clear. Transfer the rice to a rice cooker, add the coconut milk, water, sugar, and salt, and stir to combine. Cover the rice cooker and turn it on.
As soon as the rice cooker turns itself off, uncover, pour the coconut cream evenly over the top of the rice (do not stir it in), and replace the lid. Keep the rice warm until serving.",Does the rice have to be cooked in a rice cooker?,0
